nin_pmjay,type,address,latitude,longitude,contact,mobile,categoryno,name,pincode,district,state,categoryname,block,city
,,"PHC Rafiabad Kalan, Shahjahanpur","27.689886300312537","79.40004929963555",,,"3",Kalan MopUp 01,"242127",SHAHJAHANPUR,UTTAR PRADESH,Health Facilities All States,Kalan,
,,SANTHA,"27.00114309957445","83.04018500023761",,,"3",CHC SANTHA 0401,"272270",SANTKABIRNAGAR,UTTAR PRADESH,Health Facilities All States,Santha,
,,Amroha Munni Devi Hospital CMO Office Amroha,"28.893675299975143","78.46925350004904",,,"3",Amroha Munni Devi Hospital M,"244221",AMROHA,UTTAR PRADESH,Health Facilities All States,Amroha PPC,
,,Hasanpur CHC Hasanpur,"28.730288899713003","78.284055000438",,,"3",CHC Hasanpur B-1- 19 Feb,"244241",AMROHA,UTTAR PRADESH,Health Facilities All States,Hasanpur,
,,PAC BHULLANPUR,"25.289230300038355","82.94545039971621",,,"3",PAC BHULLANPUR 2,"221002",VARANASI,UTTAR PRADESH,Health Facilities All States,Kasividyapith,
,,"CHC Khutar, Shahjahanpur","28.206249099716217","80.26837180021846",,,"3",Khutar MopUp 01,"242405",SHAHJAHANPUR,UTTAR PRADESH,Health Facilities All States,Khutar,
,,Khuniyavon CHC,"27.27713840031697","82.7589859001792",,,"3",CHC Khuniyavon  Mop up,"272192",SIDDHARTHNAGAR,UTTAR PRADESH,Health Facilities All States,Khuniyavon,
,,"CHC Jaitipur, Shahjahanpur","28.003333200366967","79.57860529959498",,,"3",Jaitipur MopUp 01,"242301",SHAHJAHANPUR,UTTAR PRADESH,Health Facilities All States,Jaitipur,
,,MAA SAVITRI MOPUP 15 FEB,"29.442758500304592","77.30931680043005",,,"3",MAA SAVITRI MOPUP 15 FEB,"247776",SHAMALI,UTTAR PRADESH,Health Facilities All States,Shamli,
,,UPHC Gwaltoli,"26.484696000420115","80.33413120039467",,,"3",UPHC Gwaltoli-18 FEB-01,"208002",KANPUR,UTTAR PRADESH,Health Facilities All States,Kanpur City,
,,KMC BSR,"28.40696300004248","77.8498291999577",,,"3",KMC M1 1902,"203001",BULANDSAHAR,UTTAR PRADESH,Health Facilities All States,Bulandshahar,
,,CHC Bar,"24.86121249985706","78.58224319956406",,,"3",CHC Bar-1,"284123",LALITPUR,UTTAR PRADESH,Health Facilities All States,Bar,
HS24014120,Paid,PALIYAD ROAD BOTAD,"22.182158499914863","71.64788999972376",DR.PALDIYA,"9824828250","2",SHREE ENT HOSPITAL,"364710",BOTAD,GUJARAT,Private PMJAY,,
,,Bhilwara,"25.357157900017114","74.64596100010016",,,"3",BBMH Site 2,"311001",BHILWARA,RAJASTHAN,Health Facilities All States,Urban Bhilwara,
,,CHC Suratgarh Suratgarh District Sriganganagar,"29.31717289980952","73.90327309957394",,,"3",CHC Suratgarh  MoHUA,"335804",GANGANAGAR,RAJASTHAN,Health Facilities All States,Suratgarh,
,,Bhungada PHC,"23.662129899775096","74.50677700005855",,,"3",Bhungada PHC,"327001",BANSWARA,RAJASTHAN,Health Facilities All States,Ghatol,
,,Ajmer,"26.53751740020789","74.75157020010471",,,"3",GD Badaya PVT,"305023",AJMER,RAJASTHAN,Health Facilities All States,Shri Nagar,
,,G.S.S.S PADRADA,"24.900659299986728","73.38855259982267",,,"3",G.S.S.S PADRADA,"313704",UDAIPUR,RAJASTHAN,Health Facilities All States,Gogunda,
,,Malva Ka Chora PHC,"24.752579899642683","73.30899949972718",,,"3",Malva Ka Chora PHC,"313708",UDAIPUR,RAJASTHAN,Health Facilities All States,Kotra,
,,PHC Mohi,"25.0446909003648","73.95361629965254",,,"3",PHC Mohi,"313324",RAJSAMAND,RAJASTHAN,Health Facilities All States,Rajsamand,
,,Medical Directorate Jaipur,"26.904535999936513","75.83921200033359",,,"3",Directorate 2,"302003",JAIPUR,RAJASTHAN,Health Facilities All States,Jaipur I Urban,
,,Madri Urban PHC,"24.578566299794943","73.68418090032833",,,"3",Madri Urban PHC,"313701",UDAIPUR,RAJASTHAN,Health Facilities All States,Udaipur Urban,
,,phc kitalsar,"26.87683400038884","74.38806990020578",,,"3",Phc Kitalsar,"341503",NAGAUR,RAJASTHAN,Health Facilities All States,Degana,
,,CHC Goluwala,"29.6335222997144","74.05083150017367",,,"3",Goluwala,"335802",HANUMANGARH,RAJASTHAN,Health Facilities All States,Pilibanga,
,,VIRATNAGAR,"27.43900770004535","76.15518659968188",,,"3",MHW VIRATNAGAR,"303102",JAIPUR,RAJASTHAN,Health Facilities All States,Virat Nagar,
,,SMS Hospital 11 Dhanwantri 5th,"26.90778629999778","75.81616859960127",,,"3",SMS Hospital 11 Dhanwantri 5th,"302004",JAIPUR,RAJASTHAN,Health Facilities All States,Jaipur I Urban,
,,BOYS SSS  DHORIMANA PE,"25.200441899973782","71.43707939999439",,,"3",BOYS SSS  DHORIMANA PE,"344702",BARMER,RAJASTHAN,Health Facilities All States,Dhorimana,
,,Digod RHTC,"25.218254400320347","76.07046210014585",,,"3",Education Digod RHTC,"325201",KOTA,RAJASTHAN,Health Facilities All States,Sultanpur,
,,Dechu CHC,"26.774803799955464","72.33036799968352",,,"3",Dechu CHC,"342314",JODHPUR,RAJASTHAN,Health Facilities All States,Shergarh,
,,CHC BATADU PE 1,"26.0224897001396","71.58129709978141",,,"3",CHC BATADU PE 1,"344033",BARMER,RAJASTHAN,Health Facilities All States,Baytu,
,,district hospital,"27.563445799783892","76.61249270007812",,,"3",Rajeev Gandhi District Hosp,"301001",ALWAR,RAJASTHAN,Health Facilities All States,Alwar Urban,
,,Baran,"25.104299999845182","76.502949600144",,,"3",Baran District Hospital,"325205",BARAN,RAJASTHAN,Health Facilities All States,Urban,
,,Gudachandra jee,"26.78279770005389","76.6716956998967",,,"3",Gudachandra jee CHC,"322213",KARAULI,RAJASTHAN,Health Facilities All States,Gudachandraji,
,,Soorwal PHC,"26.092342600230893","76.37580649977019",,,"3",Soorwal PHC,"322027",SAWAI MADHOPUR,RAJASTHAN,Health Facilities All States,Sawai Madhopur,
,,Loonada PHC,"24.39477089995711","74.31328779979219",,,"3",Loonada PHC,"313604",UDAIPUR,RAJASTHAN,Health Facilities All States,Bhinder,
,,UPHC ABUROAD,"24.464073100193445","72.77177750013158",,,"3",UPHC ABUROAD  3,"307026",SIROHI,RAJASTHAN,Health Facilities All States,Aburoad,
,,UPHC Agrasen Nagar churu,"28.28032929995726","74.96544499958713",,,"3",UPHC Agrasen Nagar churu,"331001",CHURU,RAJASTHAN,Health Facilities All States,Churu,
,,Bhandaheda,"25.121285900024304","76.10880010004462",,,"3",Bhandaheda PHC,"325203",KOTA,RAJASTHAN,Health Facilities All States,Sultanpur,
,,Kunhari.,"25.20532269968288","75.83596449986186",,,"3",Kunhari UPHC..,"324008",KOTA,RAJASTHAN,Health Facilities All States,Urban,
,,Sirsi phc jaipur,"26.910467300425637","75.6785659998211",,,"3",Sirsi phc jaipur,"302012",JAIPUR,RAJASTHAN,Health Facilities All States,Sirsi,
,,Sms Medical College Dhanvantari 5th Floor,"26.906468199647747","75.81654960008404",,,"3",Sms Hosp Dhanvantari 5th Floor,"302004",JAIPUR,RAJASTHAN,Health Facilities All States,Jaipur I Urban,
,,JALORI GATE JODHPUR,"26.284638699616323","73.01606439985221",,,"3",MGH SJ,"342001",JODHPUR,RAJASTHAN,Health Facilities All States,Jodhpur,
,,Raisinghnagar CHC raisinghnagar,"29.536688900072704","73.44453920042383",,,"3",Raisinghnagar CHC,"335051",GANGANAGAR,RAJASTHAN,Health Facilities All States,Raisinghnagar,
,,Ummedabad PHC,"25.376599399942393","72.4346910999144",,,"3",Ummedabad Site B,"343021",JALOR,RAJASTHAN,Health Facilities All States,Sayla,
,,Shreenath BSc College,"25.059070899802236","73.90558080041365",,,"3",Shreenath BSc College,"313342",RAJSAMAND,RAJASTHAN,Health Facilities All States,Rajsamand,
,,CHC PACHPADRA,"25.92718549961114","72.25868940029562",,,"3",CHC PACHPADRA,"344022",BARMER,RAJASTHAN,Health Facilities All States,Balotra,
,,Iteda PHC,"27.456640700208197","76.8028933001857",,,"3",Iteda PHC,"301021",ALWAR,RAJASTHAN,Health Facilities All States,Laxmangarh,
,,Udai Khurd PHC,"26.548867800408686","76.78454859993798",,,"3",Udai Khurd PHC,"322201",SAWAI MADHOPUR,RAJASTHAN,Health Facilities All States,Gangapur City,
,,Banad CHC,"26.331361999856483","73.14925799955711",,,"3",Banad CHC,"342027",JODHPUR,RAJASTHAN,Health Facilities All States,Mandor,
,,Shivpur CHC,"30.050000000299804","73.86666699968237",,,"3",Shivpur CHC,"335001",GANGANAGAR,RAJASTHAN,Health Facilities All States,Sri Ganganagar,
,,SLBS COLLEGE 2,"26.30767450017811","73.0479782995589",,,"3",SLBS 2,"342001",JODHPUR,RAJASTHAN,Health Facilities All States,Jodhpur,
,,Dhuankalan,"26.155265500002884","75.78603799975394",,,"3",Phc Dhuankala,"304001",TONK,RAJASTHAN,Health Facilities All States,Deoli,
,,Phc Upani,"27.951960799950996","73.96831020025559",,,"3",Phc Upani,"331803",BIKANER,RAJASTHAN,Health Facilities All States,Sri Dungargarh,
,,PHC CHADWAS,"26.054633800209785","73.47581890002226",,,"3",PHC CHADWAS,"306104",PALI,RAJASTHAN,Health Facilities All States,Sojat,
,,Jaloki PHCSri Ganganagar,"29.91805129972778","73.88400430005845",,,"3",Jaloki PHC,"335041",GANGANAGAR,RAJASTHAN,Health Facilities All States,Padampur,
,,KISHANPOLE 1 NNG,"26.919217300138314","75.81699290020225",,,"3",KISHANPOLE 1 NNG,"302001",JAIPUR,RAJASTHAN,Health Facilities All States,Jaipur I Urban,
,,Bulbuli,"24.983893300035845","88.24817129966578",,,"3",R N Roy RH,"732122",MALDA,WEST BENGAL,Health Facilities All States,Habibpur,
,,Sukna CHC,"26.79009520023334","88.36282439962639",,,"3",Sukna CHC,"734009",DARJEELING,WEST BENGAL,Health Facilities All States,Kurseong,
,,NALMURI,"22.493121799831272","88.5987961002599",,,"3",NALMURI CHC,"743502",SOUTH 24 PARGANAS,WEST BENGAL,Health Facilities All States,Bhangore-I,
,,NABAGRAM BPHC,"24.191930799966485","88.09249379984902",,,"3",NABAGRAM BPHC COVAXIN,"742184",MURSIDABAD,WEST BENGAL,Health Facilities All States,Nabagram,
,,Chhatna,"23.304394399881687","86.97277310039834",,,"3",Chhatna BPHC,"722132",BANKURA,WEST BENGAL,Health Facilities All States,Chhatna,
,,Bedrabad  KaliachakI 3,"24.809328600134847","87.98966940002288",,,"3",Bedrabad 1,"732210",MALDA,WEST BENGAL,Health Facilities All States,KALIACHAK III,
,,"Rabindrabithi bypass, Ward 19","23.653449700043666","87.69856680011782",,,"3",UPHC II Bolpur,"731204",BIRBHUM,WEST BENGAL,Health Facilities All States,Bolpur Municipality,
,,Adra area,"22.492593899588826","87.98369999975523",,,"3",Adra PHC,"711303",HAORA,WEST BENGAL,Health Facilities All States,Bagnan-I,
,,Falakata RH,"26.51778979985943","89.20136690016238",,,"3",Falakata RH CoVaxin,"735211",ALIPURDUAR,WEST BENGAL,Health Facilities All States,Falakata,
,,Bidhanagar,"23.526036300335022","87.34213129991963",,,"3",Durgapur SDH Covaxin,"713206",BARDHAMAN,WEST BENGAL,Health Facilities All States,Durgapur MC,
,,"Chilkigarh,JAMBONI,JHARGRAM","22.450278799926707","86.88693009964442",,,"3",CHILKIGARH  RH MEETING HALL,"721503",PASHCHIM MEDINIPUR,WEST BENGAL,Health Facilities All States,Jamboni,
,,BANSBERIA HOOGHLY,"22.963233899924603","88.40560910007997",,,"3",UPHC I BANSBERIA MUNICIPALITY,"712502",HUGLI,WEST BENGAL,Health Facilities All States,BANSBERIA MUNICIPALITY,
,,Shilbarihat,"26.49754839973889","89.3440379000291",,,"3",Shilbarihat PHC,"736204",ALIPURDUAR,WEST BENGAL,Health Facilities All States,Alipurduar Block-I,
,,Malda,"24.99444980031808","88.13839640037361",,,"3",Malda medical College 1,"732101",MALDA,WEST BENGAL,Health Facilities All States,English Bazar Municipality,
,,Bolpur,"23.660028399990722","87.70201429992005",,,"3",Bolpur BPHC Polling,"731204",BIRBHUM,WEST BENGAL,Health Facilities All States,Bolpur,
,,HALDIBARI CHC,"26.336960800300744","88.78135439988569",,,"3",HALDIBARI CHC,"735122",KOCHBIHAR,WEST BENGAL,Health Facilities All States,Haldibari,
,,KALIGANG,"23.72487419958469","88.23403090030587",,,"3",KALIGANJ RURAL HOSP. (ALL),"741150",NADIA,WEST BENGAL,Health Facilities All States,Kaliganj,
,,MCH Clinic,"26.319287700267182","89.45004589989844",,,"3",Police Hospital Coochbehar,"736101",KOCHBIHAR,WEST BENGAL,Health Facilities All States,Cooch Behar Municipality,
,,VillPO Chowberia PS Gopalnagar,"23.061316599981183","88.76178700026992",,,"3",Chowberia PHC COVAXIN,"743290",NORTH 24 PARGANA,WEST BENGAL,Health Facilities All States,Bongaon,
,,"Sandeshkhali, Basirhat","22.362685900134238","88.87668990041863",,,"3",Sandeshkhali RH,"700124",NORTH 24 PARGANA,WEST BENGAL,Health Facilities All States,Barasat Municipality,
,,FULIA,"23.240991299908615","88.49609479963533",,,"3",SITE 3 - FULIA BPHC,"741402",NADIA,WEST BENGAL,Health Facilities All States,Santipur,
,,Dr J R Dhar Hospital,"23.04665479977922","88.82276969996173",,,"3",Dr J R Dhar SDH COVISHELD,"743235",NORTH 24 PARGANA,WEST BENGAL,Health Facilities All States,Bongaon Municipality,
,,"BELPAHARI, BINPUR-II,JHARGRAM","22.634877699945946","86.76075890020314",,,"3",BELPAHARI RH MEETING COVISLD,"721501",PASHCHIM MEDINIPUR,WEST BENGAL,Health Facilities All States,Binpur-II,
,,"1H,Gariahat Road South, Jodhpur Park,Kol-700068","22.50324720019819","88.36446370003978",,,"3",Sri Aurobindo SevaKendra(EEDF),"700033",SOUTH 24 PARGANAS,WEST BENGAL,Health Facilities All States,Borough-X,
,,NANOOR,"23.70403799955409","87.86725089970929",,,"3",NANOOR BPHC,"731301",BIRBHUM,WEST BENGAL,Health Facilities All States,Nanoor,
,,Purbabajari,"21.771529200312386","87.69200970008762",,,"3",Bhupatinagar Mugberia RH,"721425",EASTMEDNIPUR,WEST BENGAL,Health Facilities All States,Bhagawanpur-II,
,,Muradih,"23.585188299600418","86.82454430017935",,,"3",Muradih BPHC,"723156",PURULIYA,WEST BENGAL,Health Facilities All States,Santuri,
,,"RAJNAGAR,MURSHIDABAD","24.427575499909437","88.08641229998773",,,"3",RAJNAGAR BPHC1,"742227",MURSIDABAD,WEST BENGAL,Health Facilities All States,Raghunathganj-I,
,,Malda,"25.016209599593424","88.13234149976046",,,"3",Rail Hospital Malda,"732101",MALDA,WEST BENGAL,Health Facilities All States,English Bazar Municipality,
